,id,employee_first_name_caller,employee_last_name_caller,email,group_id,employee_first_name_other,employee_last_name_other,badge_serial_number
145,146,Byron,Clark,byron.clark@acme.com,4.0,Byron,Clark,5a30c325-2778-4ad6-a09f-bfa52a0ba91a
166,167,Heather,Wright,heather.wright@acme.com,2.0,Heather,Wright,b25cbe13-05a1-40b8-b0d2-c77d82b626ae
189,190,Abraham,Davis,abraham.davis@acme.com,4.0,Abraham,Davis,b6f607dc-ed30-4cd6-b736-68d5d8df2ba6
277,278,Miller,Smith,miller.smith@acme.com,6.0,Miller,Smith,9e6f24a2-3191-4900-bf79-fbb40d4d9048
496,497,Ted,West,ted.west@acme.com,6.0,Ted,West,fafe8b13-77e8-4df7-99b4-2b78fab7a8e7
507,508,Joyce,Jones,joyce.jones@acme.com,5.0,Joyce,Jones,c9f5d589-2fda-4453-a3ed-4dc8b76b6027
548,549,James,Hunt,james.hunt@acme.com,5.0,James,Hunt,90b563c4-a31c-47ce-94b0-0591b8181ca3
790,791,Patrick,Foster,patrick.foster@acme.com,1.0,Patrick,Foster,5cbe4662-53ac-4aac-8700-db917c1bfda3
845,846,Byron,Harris,byron.harris@acme.com,5.0,Byron,Harris,249aa029-6bbd-4cb4-ae80-9dc6473ca6d1
971,972,Michelle,Davis,michelle.davis@acme.com,3.0,Michelle,Davis,b5ab63b5-5164-45a3-ac69-fe73d262782b
989,990,Charlie,Elliott,charlie.elliott@acme.com,6.0,Charlie,Elliott,1437ba49-5dbe-48ee-b71b-39d7040fcac2
1092,1093,Alan,Warren,alan.warren@acme.com,6.0,Alan,Warren,c24a5dc6-bfc4-4170-89cd-0f9f0f48641d
1102,1103,Lilianna,Douglas,lilianna.douglas@acme.com,1.0,Lilianna,Douglas,f8a9fafc-03d9-4c91-ba75-fd6b8f6e02e8
23,24,Rubie,Hunt,rubie.hunt@acme.com,5.0,Rubie,Hunt,aa4eef2d-ec39-4109-b33f-669de86cc324
138,139,Belinda,Ross,belinda.ross@acme.com,3.0,Belinda,Ross,bb36acee-dba6-4671-a9bb-21f165112a14
260,261,Edgar,Lloyd,edgar.lloyd@acme.com,1.0,Edgar,Lloyd,15c461d2-819e-49b7-96ee-0a2089c8733b
326,327,Patrick,Adams,patrick.adams@acme.com,6.0,Patrick,Adams,72aa5617-81f9-43bf-bc31-889a9f5d6cec
668,669,Rosie,Mason,rosie.mason@acme.com,6.0,Rosie,Mason,568cd28c-fa62-42bd-b730-b913a99649a9
670,671,Amy,Ellis,amy.ellis@acme.com,1.0,Amy,Ellis,4c6cd8a0-06ab-4958-821d-058ab291e0f9
964,965,Myra,Watson,myra.watson@acme.com,3.0,Myra,Watson,c9af6ccf-5cae-4323-8b04-8074fbccdbdb
1051,1052,Maya,Perry,maya.perry@acme.com,5.0,Maya,Perry,fe595144-f03e-4009-a026-5c22b94ad8a5
1062,1063,Edgar,Richardson,edgar.richardson@acme.com,6.0,Edgar,Richardson,0c83427f-2b44-4e35-ade8-650dd9a86ec3
302,303,Thomas,Howard,thomas.howard@acme.com,4.0,Thomas,Howard,9b2bbccf-9d92-4076-ad2b-b697a7a14114
314,315,Samantha,Alexander,samantha.alexander@acme.com,3.0,Samantha,Alexander,dc05b87e-3ecb-46bb-97da-d53e7a3c5f3e
338,339,Maximilian,Evans,maximilian.evans@acme.com,3.0,Maximilian,Evans,f0cff405-94ca-4631-ab2d-3e3062a6519b
340,341,Victoria,Higgins,victoria.higgins@acme.com,1.0,Victoria,Higgins,468a1618-8c25-40e6-917b-6eb321c09048
354,355,Audrey,Warren,audrey.warren@acme.com,6.0,Audrey,Warren,7476bb8d-8ca4-42dd-8997-4f3c031eba21
433,434,Jared,Henderson,jared.henderson@acme.com,3.0,Jared,Henderson,04a960f5-9f55-436d-b448-451e15ae3d28
575,576,Eddy,Cole,eddy.cole@acme.com,,Eddy,Cole,3d137841-ab8c-4310-9eeb-3ab7d11c0e6d
586,587,Edwin,Cameron,edwin.cameron@acme.com,3.0,Edwin,Cameron,047ba522-caa5-42a4-ad94-f0423c19c394
693,694,Maya,Campbell,maya.campbell@acme.com,2.0,Maya,Campbell,cab7b563-5eed-455f-853a-b090e2985cc2
700,701,Antony,Douglas,antony.douglas@acme.com,4.0,Antony,Douglas,c5d2fdbf-479e-40ef-b8d5-30940b685855
702,703,Annabella,Walker,annabella.walker@acme.com,1.0,Annabella,Walker,46244e01-2cbc-4075-9c8a-79391b9b9c70
800,801,Antony,Morgan,antony.morgan@acme.com,5.0,Antony,Morgan,d664b61c-112b-4c08-8719-d5b645c2867b
838,839,Tony,Johnson,tony.johnson@acme.com,5.0,Tony,Johnson,05337063-4c0e-43db-8a8f-7659c38d7daf
928,929,Mike,Roberts,mike.roberts@acme.com,5.0,Mike,Roberts,29f95ced-c237-4b56-bc64-946e8c78cfff
1170,1171,Freddie,Brooks,freddie.brooks@acme.com,2.0,Freddie,Brooks,369b7317-02b8-47bc-a2b5-18101f1b9eb1
141,142,Adelaide,Taylor,adelaide.taylor@acme.com,6.0,Adelaide,Taylor,d652114c-ff62-4d15-90ef-573e509daf89
157,158,Jordan,Campbell,jordan.campbell@acme.com,2.0,Jordan,Campbell,96147c7a-55dd-4167-8bfb-800a314e714f
193,194,Sawyer,Brown,sawyer.brown@acme.com,2.0,Sawyer,Brown,9f14f153-9ef2-4d1f-a415-2f1f179f3e9b
235,236,Lana,Wright,lana.wright@acme.com,4.0,Lana,Wright,9efd2c64-9591-4df7-86ed-22399a3432b7
619,620,Kimberly,Fowler,kimberly.fowler@acme.com,2.0,Kimberly,Fowler,f70df6bf-ebed-4eea-92c3-ee2e51da93f3
660,661,Kate,Myers,kate.myers@acme.com,6.0,Kate,Myers,f7f76eca-171f-49f8-a492-f2c565549c55
707,708,James,Murray,james.murray@acme.com,1.0,James,Murray,0e7c0213-21b0-4cdc-9638-383db9201cce
730,731,Fiona,Edwards,fiona.edwards@acme.com,4.0,Fiona,Edwards,bb951f37-ef5a-405e-b65d-8985085c559b
773,774,Madaline,Morrison,madaline.morrison@acme.com,1.0,Madaline,Morrison,b73fd983-de29-4211-9ecc-2f89ce39b9c1
948,949,James,Owens,james.owens@acme.com,6.0,James,Owens,5279cab2-e6af-45f4-8527-d2abca48dbf5
1002,1003,Abraham,Dixon,abraham.dixon@acme.com,3.0,Abraham,Dixon,8587619b-1612-4c3c-afe6-af7c01205ad0
54,55,Stella,Gray,stella.gray@acme.com,6.0,Stella,Gray,fd154df1-c0a0-47de-ac29-b471b32890fa
217,218,Briony,Nelson,briony.nelson@acme.com,1.0,Briony,Nelson,84cf3682-17b8-43ad-b588-39740441c880
286,287,Kristian,Mason,kristian.mason@acme.com,2.0,Kristian,Mason,7985acf6-7050-42d2-8ad3-e4ce707ea76c
443,444,Kristian,Smith,kristian.smith@acme.com,6.0,Kristian,Smith,d5f4e677-12d8-46dc-b41d-0f029e1b158c
578,579,Max,Wilson,max.wilson@acme.com,4.0,Max,Wilson,c4d5759d-7d17-4a73-a216-6f66f9dae154
671,672,Rebecca,Armstrong,rebecca.armstrong@acme.com,4.0,Rebecca,Armstrong,439f05a9-f5ef-4fef-a5af-43ed8cdd6218
682,683,Patrick,Murphy,patrick.murphy@acme.com,3.0,Patrick,Murphy,52cc1a2c-ba26-446f-a148-ea94afd90525
731,732,Kate,Thomas,kate.thomas@acme.com,6.0,Kate,Thomas,c59d12f1-9d87-4fe3-8859-c78fd31f47bd
1104,1105,Adelaide,Campbell,adelaide.campbell@acme.com,4.0,Adelaide,Campbell,dc054145-9f6c-47ee-ac15-ebdc1caa0285
1141,1142,Lana,Walker,lana.walker@acme.com,,Lana,Walker,a9cc1123-756f-4d67-b7a5-83c8f3cc43ba
14,15,Alberta,Wilson,alberta.wilson@acme.com,4.0,Alberta,Wilson,6a28002a-c7c9-4f8c-bb42-408b88c3c98b
57,58,Victor,Owens,victor.owens@acme.com,1.0,Victor,Owens,874294b4-abc2-4221-a4ee-7e898a3a7cad
185,186,,,aiden.kelley@acme.com,2.0,,,56379c6b-a04c-4e4d-bb10-47609608d0ae
222,223,Brianna,Barrett,brianna.barrett@acme.com,4.0,Brianna,Barrett,4fe899e1-bfc4-4940-8da8-86fd7dfc18a6
227,228,Emma,Richards,emma.richards@acme.com,4.0,Emma,Richards,29be4b86-ee9f-4d09-9998-a392f05e7240
261,262,Arianna,Tucker,arianna.tucker@acme.com,4.0,Arianna,Tucker,096b0a9b-bb0c-456a-bc8b-e554cb1b6fee
503,504,Carina,Watson,carina.watson@acme.com,1.0,Carina,Watson,94b94a41-fb78-4ef9-830c-5e78fdb4964d
554,555,Adison,Tucker,adison.tucker@acme.com,6.0,Adison,Tucker,e12bc22c-0a0a-49ea-8ea1-c5edc1bcd757
609,610,Paige,Hawkins,paige.hawkins@acme.com,6.0,Paige,Hawkins,865d4574-563d-43b2-9672-965edd69d57c
875,876,Anna,Wilson,anna.wilson@acme.com,1.0,Anna,Wilson,4db62d1c-6ab3-4755-9bae-f8269617d4c3
886,887,Fiona,Douglas,fiona.douglas@acme.com,4.0,Fiona,Douglas,a823f564-0e02-424e-94ed-799c934528ac
889,890,Alen,Chapman,alen.chapman@acme.com,5.0,Alen,Chapman,64b1b564-9fc1-4e6b-b454-66139264f83d
912,913,Patrick,Cameron,patrick.cameron@acme.com,3.0,Patrick,Cameron,0918836e-7acc-4102-b150-9db6aad17e04
1057,1058,Haris,Nelson,haris.nelson@acme.com,4.0,Haris,Nelson,38fd1ab8-b803-4a37-b4ff-976aa33c4bf7
1089,1090,Victoria,Stevens,victoria.stevens@acme.com,6.0,Victoria,Stevens,ff936132-1e2b-4c58-8999-b4b19f1ea971
110,111,Stella,Howard,stella.howard@acme.com,4.0,Stella,Howard,cb00c39d-43d3-4e7b-b388-6d17c78b55ca
253,254,Kelsey,Mitchell,kelsey.mitchell@acme.com,6.0,Kelsey,Mitchell,0e129d2f-8b08-4002-9905-a10ff9bf609a
259,260,Adam,Fowler,adam.fowler@acme.com,3.0,Adam,Fowler,428168d9-7506-425b-a8b4-60091dc7fb30
276,277,Kevin,Phillips,kevin.phillips@acme.com,2.0,Kevin,Phillips,0c6458c8-92cc-4761-baec-3c361e28c10a
300,301,Edgar,Williams,edgar.williams@acme.com,3.0,Edgar,Williams,51028c57-aaf0-4c6f-8d36-809877594458
341,342,Kelvin,Turner,kelvin.turner@acme.com,1.0,Kelvin,Turner,5ebab4a3-6527-4b03-b248-d0506656cba2
458,459,George,Payne,george.payne@acme.com,1.0,George,Payne,a84e6a82-3cac-419a-b44b-bc754fb83075
528,529,Ryan,Morgan,ryan.morgan@acme.com,6.0,Ryan,Morgan,13ea8475-2567-4647-a3bd-6aee009ab927
595,596,Adrianna,Sullivan,adrianna.sullivan@acme.com,5.0,Adrianna,Sullivan,19cf2c26-9226-49a1-9cc9-5c41764f8a40
966,967,Evelyn,Alexander,evelyn.alexander@acme.com,1.0,Evelyn,Alexander,ab390a89-f1d5-4b74-8ce0-b5ac74e334a7
1003,1004,Evelyn,Evans,evelyn.evans@acme.com,1.0,Evelyn,Evans,32729ed6-cdac-40de-9160-148683632146
1016,1017,Oliver,Nelson,oliver.nelson@acme.com,1.0,Oliver,Nelson,85b7aa32-38f2-4e46-8dc8-87fa95945605
1063,1064,Julian,Adams,julian.adams@acme.com,5.0,Julian,Adams,b2758267-5bb9-4de5-ba7a-ffa9a2e79c57
1099,1100,Luke,Morrison,luke.morrison@acme.com,3.0,Luke,Morrison,8fd072a5-5a17-4806-8552-c0250cf7dff2
19,20,Myra,Riley,myra.riley@acme.com,1.0,Myra,Riley,cac24b82-feea-4056-b930-ca39f2385a15
46,47,Stella,Armstrong,stella.armstrong@acme.com,2.0,Stella,Armstrong,743bcd84-1685-4fcf-95fd-590d2c7e21f3
172,173,Chelsea,Kelly,chelsea.kelly@acme.com,3.0,Chelsea,Kelly,67cb2565-d1f4-4a36-b2db-7b8d02ecc37e
270,271,Darcy,Campbell,darcy.campbell@acme.com,1.0,Darcy,Campbell,fa190982-2937-4c55-9bf4-9aed1e3969be
337,338,Owen,Barrett,owen.barrett@acme.com,6.0,Owen,Barrett,953ca3a0-de25-430b-96f2-6907b3347321
409,410,Spike,Foster,spike.foster@acme.com,1.0,Spike,Foster,70a31e44-c997-4cc0-a585-987f7a6c0cf7
423,424,Anna,Stewart,anna.stewart@acme.com,4.0,Anna,Stewart,2fa63229-c6e9-4df8-9763-0f7242c22311
452,453,Alford,Carroll,alford.carroll@acme.com,2.0,Alford,Carroll,95be6f77-2879-4afe-82c0-13c2aef87093
520,521,Arnold,Dixon,arnold.dixon@acme.com,3.0,Arnold,Dixon,56fd7b1a-2642-496d-905a-7e61130cb68d
843,844,Adrianna,Smith,adrianna.smith@acme.com,4.0,Adrianna,Smith,f91bd52a-bfbe-430e-ac4d-c32ebde22fba
1058,1059,Carlos,Carter,carlos.carter@acme.com,6.0,Carlos,Carter,c51862d3-b2c8-4247-9b4d-9a55d7da5f8c
1095,1096,Dale,Craig,dale.craig@acme.com,5.0,Dale,Craig,d20c0270-1e7b-4c11-8add-6b2093b7f081
1131,1132,Alfred,Cunningham,alfred.cunningham@acme.com,3.0,Alfred,Cunningham,96a53666-4e8c-4f0e-a4f5-7eb9afa965ca
24,25,Blake,Murphy,blake.murphy@acme.com,3.0,Blake,Murphy,94024c49-c754-4cbd-a6b1-93a42fdd2042
58,59,Olivia,Stewart,olivia.stewart@acme.com,2.0,Olivia,Stewart,053f034d-8e8c-4510-9bb5-d17e11a6783c
304,305,Belinda,Stevens,belinda.stevens@acme.com,1.0,Belinda,Stevens,69854fc3-2480-48cc-a334-91f183a21732
413,414,Roland,Ryan,roland.ryan@acme.com,1.0,Roland,Ryan,d44f9554-81a6-41d7-a619-2c286ee67c75
427,428,Sam,Holmes,sam.holmes@acme.com,1.0,Sam,Holmes,6c32fd24-2d3e-46d6-a88e-e2ba4d76e478
449,450,Eleanor,Hill,eleanor.hill@acme.com,2.0,Eleanor,Hill,d6e43ede-c7cb-4a89-b332-001c2d1510d0
504,505,Luke,Scott,luke.scott@acme.com,5.0,Luke,Scott,23fb0e24-6b6f-41f1-820e-c412940abb68
534,535,Melissa,Gray,melissa.gray@acme.com,2.0,Melissa,Gray,10b82858-deb9-445a-8cfa-0f70aa18fe1d
754,755,Cadie,Crawford,cadie.crawford@acme.com,1.0,Cadie,Crawford,1ef1cea0-e4ee-48f8-9448-81a249ba28f1
772,773,Rubie,Clark,rubie.clark@acme.com,1.0,Rubie,Clark,a6e91a55-b1ab-423c-abca-c7337ef534ac
823,824,Amy,Farrell,amy.farrell@acme.com,5.0,Amy,Farrell,acc9e43f-acc5-4cd9-a115-4dda813ffad8
858,859,Miley,Sullivan,miley.sullivan@acme.com,6.0,Miley,Sullivan,56e1d4c1-fe38-4e08-8152-70fb9bf55645
929,930,Patrick,Mitchell,patrick.mitchell@acme.com,5.0,Patrick,Mitchell,277598b0-234b-49c8-be41-85f585b424b8
938,939,Daniel,Mason,daniel.mason@acme.com,2.0,Daniel,Mason,22f2ecf1-4c12-4d08-99cd-a8616b4bd350
976,977,Garry,Scott,garry.scott@acme.com,5.0,Garry,Scott,97705b8b-eed4-41ef-b8ff-444978942193
1116,1117,Valeria,Murphy,valeria.murphy@acme.com,5.0,Valeria,Murphy,2eca9c0b-6517-4ef1-ab80-97b0698fd52f
18,19,Alan,Mason,alan.mason@acme.com,5.0,Alan,Mason,7e6807a8-f3ba-4911-813e-4f6a7d59a0e1
32,33,Catherine,Bailey,catherine.bailey@acme.com,3.0,Catherine,Bailey,9923bf00-cffa-454e-88b8-a1242fc05043
103,104,Richard,Taylor,richard.taylor@acme.com,2.0,Richard,Taylor,55897a2e-3d20-46e2-bf35-3b47c114207b
479,480,Olivia,Douglas,olivia.douglas@acme.com,1.0,Olivia,Douglas,e6a4054e-c037-4fcb-807e-3083890b88d8
519,520,Kimberly,Russell,kimberly.russell@acme.com,4.0,Kimberly,Russell,74cc6fb7-eb16-4730-9b49-d2bc04556f7d
689,690,Deanna,Kelley,deanna.kelley@acme.com,6.0,Deanna,Kelley,4da4591f-1728-4d3c-bb2b-db99c34de9ef
757,758,Alissa,Morgan,alissa.morgan@acme.com,4.0,Alissa,Morgan,b80fd1bf-d88a-4c36-b4ca-cd7e1a49a27b
794,795,Arianna,Murphy,arianna.murphy@acme.com,5.0,Arianna,Murphy,1e7a6b3b-4f77-406f-ab5f-2ed3a390f4f0
856,857,Carina,Barnes,carina.barnes@acme.com,1.0,Carina,Barnes,6df03a24-056d-4833-8a22-d785ed8aa4f7
961,962,Kellan,Brown,kellan.brown@acme.com,1.0,Kellan,Brown,5edd55c9-9419-49e9-a0d6-2007d371a6c6
367,368,Aston,Perkins,aston.perkins@acme.com,2.0,Aston,Perkins,20efdeb5-fa98-4efd-ac0a-4a351c9e5013
465,466,Myra,Cole,myra.cole@acme.com,1.0,Myra,Cole,64e207c9-574c-4026-8601-881b06983970
509,510,Cherry,Williams,cherry.williams@acme.com,6.0,Cherry,Williams,d2e5ac32-9e86-4ecc-94f1-b861761dd32f
526,527,Max,Rogers,max.rogers@acme.com,2.0,Max,Rogers,7a390c31-508a-401b-b57a-e9c2fbb56d86
537,538,Antony,Rogers,antony.rogers@acme.com,2.0,Antony,Rogers,5f2a246f-7513-4b00-8eef-9c74c7c0620c
557,558,Preston,Cunningham,preston.cunningham@acme.com,1.0,Preston,Cunningham,0ae08016-4131-487d-b1af-e755e1fb3ef9
722,723,Haris,Bailey,haris.bailey@acme.com,6.0,Haris,Bailey,06a07cd2-9ceb-47be-bf6b-2a6b6735277d
812,813,Arthur,Barrett,arthur.barrett@acme.com,6.0,Arthur,Barrett,3fddfdaa-22c8-4d4e-8096-fbc3e768410e
881,882,Caroline,Carter,caroline.carter@acme.com,2.0,Caroline,Carter,b77c3e98-0f82-4004-8acd-5746957d9281
984,985,Steven,Holmes,steven.holmes@acme.com,4.0,Steven,Holmes,829dd231-e0af-4881-8c79-4eb45c85a2fd
1027,1028,Albert,Myers,albert.myers@acme.com,4.0,Albert,Myers,32841b7f-bab3-4518-89dc-430bea89b4fb
1161,1162,Carl,Barnes,carl.barnes@acme.com,4.0,Carl,Barnes,4dd6419e-325c-4ada-b3b0-5b0d38dc6669
45,46,Sydney,Richardson,sydney.richardson@acme.com,6.0,Sydney,Richardson,eba1271d-d930-4bc0-a9a4-c122a9f12258
98,99,Lucas,Moore,lucas.moore@acme.com,3.0,Lucas,Moore,13677d94-6ab1-4492-891d-28476351cbfb
132,133,Daniel,Howard,daniel.howard@acme.com,1.0,Daniel,Howard,b05e8f73-d5c0-49a5-8209-485e0905b456
135,136,Jared,Clark,jared.clark@acme.com,6.0,Jared,Clark,55624f6d-178a-45ac-811d-e9d120429b51
169,170,Adrian,Robinson,allan.robinson@acme.com,2.0,Adrian,Robinson,7b8b1f60-7802-462b-97ff-405f57b613ec
280,281,Stuart,Ferguson,stuart.ferguson@acme.com,3.0,Stuart,Ferguson,d2c3d9a6-5afd-4204-a25a-75df39adec7a
364,365,Darcy,Murray,darcy.murray@acme.com,1.0,Darcy,Murray,63e32f11-5b19-42b3-b786-81902ad5798c
636,637,Alen,Miller,alen.miller@acme.com,6.0,Alen,Miller,640d6c63-1730-4b5d-88be-6bba48bd8442
672,673,Alberta,Perkins,alberta.perkins@acme.com,5.0,Alberta,Perkins,d95b1828-17a9-4e83-b68d-f8a74423072d
697,698,Michelle,Perkins,simon.perkins@acme.com,4.0,Michelle,Perkins,667187f6-7253-4956-80f4-f8eb55e6825c
769,770,Arnold,,arnold.morrison@acme.com,6.0,Arnold,,483dffad-2efd-4a41-80aa-e84ffc35c7fc
1106,1107,Ryan,Davis,ryan.davis@acme.com,3.0,Ryan,Davis,ac3292b5-5171-4b7c-9141-41ddd782a400
27,28,Belinda,Tucker,belinda.tucker@acme.com,5.0,Belinda,Tucker,110a055f-0c3c-4520-b241-c282b871015b
116,117,Ashton,Myers,ashton.myers@acme.com,6.0,Ashton,Myers,f18e2ee5-2d92-4e77-82b6-d6f620471dda
675,676,Michelle,Spencer,michelle.spencer@acme.com,4.0,Michelle,Spencer,8464353d-0aec-4a78-b875-4cf3b333924f
813,814,Edith,Scott,edith.scott@acme.com,4.0,Edith,Scott,f3c70c38-5935-4493-97df-d77c7b46b0b1
942,943,Nicholas,Brown,nicholas.brown@acme.com,3.0,Nicholas,Brown,bb3c9039-365c-4db7-b3f5-36cf1ab14f0a
10,11,Carlos,Hawkins,carlos.hawkins@acme.com,4.0,Carlos,Hawkins,9d223a5b-69aa-48ee-981d-3abb218718ba
84,85,Emily,Bailey,emily.bailey@acme.com,3.0,Emily,Bailey,204f43ad-f34a-4e4f-82b7-4977737e6918
357,358,Leonardo,Walker,leonardo.walker@acme.com,1.0,Leonardo,Walker,e4f7a78c-d99e-43e2-be08-f21151c4e462
492,493,Leonardo,Brown,leonardo.brown@acme.com,1.0,Leonardo,Brown,29379643-e3ca-42bf-9625-c6a173ce977c
594,595,Alford,Johnston,alford.johnston@acme.com,5.0,Alford,Johnston,ae964f14-4343-4f84-86ce-22edc52e9fdd
741,742,Martin,Martin,martin.martin@acme.com,5.0,Martin,Martin,5d92af85-fac0-4530-9c6f-603d53afb33a
821,822,Miley,Foster,miley.foster@acme.com,6.0,Miley,Foster,90642277-cbcb-4e92-8489-0d1847f4f19d
957,958,Belinda,Montgomery,belinda.montgomery@acme.com,5.0,Belinda,Montgomery,0d071a2f-51df-45ed-ad6f-512758361c55
1042,1043,Alford,Richards,alford.richards@acme.com,4.0,Alford,Richards,afff1047-b2d8-488a-86d5-5c488455e710
1088,1089,Jenna,,jenna.nelson@acme.com,6.0,Jenna,,bccd43d8-db74-4203-ad9a-38afe541f5c2
36,37,Amelia,Perry,amelia.perry@acme.com,5.0,Amelia,Perry,cb8962b0-0a31-4a8e-b53f-4f9d59fe196f
109,110,Jared,Bailey,jared.bailey@acme.com,6.0,Jared,Bailey,2632823e-2c83-4c8d-9bba-16d73e049349
176,177,Lucia,Hamilton,lucia.hamilton@acme.com,2.0,Lucia,Hamilton,5c0097d6-4834-4e23-a9db-ff0d305738dd
210,211,Amy,Ferguson,amy.ferguson@acme.com,1.0,Amy,Ferguson,6becea62-b00e-4175-acc8-ce443bb54d70
249,250,Valeria,Chapman,valeria.chapman@acme.com,2.0,Valeria,Chapman,c90f00a6-bd78-4866-82a3-80b1c3be4bde
